geneid,probe,score,numerator,denominator,fold-change,qval,gds,type
g7241,1563511_at,2.866,0.345,0.12,1.044,0.297,4358,up
g11340,201891_s_at,2.865,0.558,0.195,1.044,0.297,4358,up
g36515,227259_at,2.865,0.566,0.198,1.058,0.297,4358,up
g24674,215379_x_at,2.865,1.127,0.393,1.168,0.297,4358,up
g31108,221827_at,2.864,0.349,0.122,1.044,0.297,4358,up
g3368,1556989_at,2.863,0.479,0.167,1.082,0.297,4358,up
g11115,201666_at,2.862,0.707,0.247,1.082,0.297,4358,up
g32780,223502_s_at,2.858,0.766,0.268,1.102,0.297,4358,up
g15000,205552_s_at,2.857,0.808,0.283,1.149,0.297,4358,up
g19171,209762_x_at,2.857,0.49,0.171,1.06,0.297,4358,up
g35157,225899_x_at,2.856,0.39,0.136,1.041,0.297,4358,up
g53948,244697_at,2.855,0.547,0.192,1.071,0.297,4358,up
g12729,203281_s_at,2.855,0.439,0.154,1.059,0.297,4358,up
g38996,229741_at,2.855,0.344,0.121,1.049,0.297,4358,up
g51301,242051_at,2.854,0.428,0.15,1.081,0.297,4358,up
g42645,233393_at,2.853,0.659,0.231,1.125,0.297,4358,up
g32495,223216_x_at,2.852,0.429,0.15,1.055,0.297,4358,up
g11080,201631_s_at,2.851,0.456,0.16,1.062,0.297,4358,up
g37643,228388_at,2.85,0.329,0.116,1.046,0.297,4358,up
g1244,1553978_at,2.848,0.389,0.137,1.056,0.297,4358,up
g17814,208392_x_at,2.847,0.366,0.129,1.049,0.297,4358,up
g34386,225128_at,2.842,0.365,0.128,1.05,0.297,4358,up
g10818,201369_s_at,2.842,0.599,0.211,1.079,0.297,4358,up
g44865,235615_at,2.84,0.397,0.14,1.072,0.297,4358,up
g21429,212122_at,2.84,0.5,0.176,1.081,0.297,4358,up
g24563,215268_at,2.839,0.509,0.179,1.074,0.297,4358,up
g34892,225634_at,2.837,0.57,0.201,1.074,0.297,4358,up
g30380,221096_s_at,2.834,0.266,0.094,1.04,0.297,4358,up
g12842,203394_s_at,2.834,0.351,0.124,1.049,0.297,4358,up
g36952,227697_at,2.833,0.903,0.319,1.162,0.297,4358,up
g35912,226656_at,2.832,0.379,0.134,1.041,0.297,4358,up
g12563,203113_s_at,2.832,0.588,0.208,1.058,0.297,4358,up
g49708,240458_at,2.831,0.514,0.181,1.069,0.297,4358,up
g34014,224754_at,2.83,0.36,0.127,1.041,0.297,4358,up
g18768,209354_at,2.829,0.365,0.129,1.057,0.297,4358,up
g21729,212423_at,2.828,0.565,0.2,1.05,0.297,4358,up
g31988,222708_s_at,2.826,0.314,0.111,1.038,0.297,4358,up
g31648,222368_at,2.825,0.335,0.119,1.038,0.297,4358,up
g28969,219684_at,2.825,0.456,0.162,1.068,0.297,4358,up
g34700,225442_at,2.823,0.388,0.138,1.047,0.297,4358,up
g50610,241360_at,2.821,0.22,0.078,1.049,0.297,4358,up
g32712,223434_at,2.818,0.934,0.332,1.165,0.297,4358,up
g36320,227064_at,2.817,0.509,0.181,1.047,0.297,4358,up
g27522,218236_s_at,2.808,0.495,0.176,1.069,0.297,4358,up
g50177,240927_at,2.808,0.345,0.123,1.057,0.297,4358,up
g12792,203344_s_at,2.807,0.261,0.093,1.033,0.297,4358,up
g17858,208438_s_at,2.803,0.411,0.147,1.058,0.297,4358,up
g15020,205572_at,2.802,0.883,0.315,1.132,0.297,4358,up
g2533,1555736_a_at,2.799,0.311,0.111,1.041,0.297,4358,up
g11629,202180_s_at,2.798,0.493,0.176,1.064,0.297,4358,up
g51762,242512_at,2.797,0.402,0.144,1.07,0.297,4358,up
g19741,210341_at,2.794,0.35,0.125,1.047,0.297,4358,up
g24687,215392_at,2.792,0.303,0.109,1.069,0.297,4358,up
g857,1553440_at,2.792,0.473,0.169,1.093,0.297,4358,up
g28642,219357_at,2.786,0.468,0.168,1.057,0.297,4358,up
g40046,230791_at,2.784,0.606,0.218,1.085,0.297,4358,up
g36102,226846_at,2.782,0.512,0.184,1.068,0.297,4358,up
g24067,214770_at,2.781,0.811,0.292,1.161,0.297,4358,up
g11310,201861_s_at,2.781,0.335,0.121,1.045,0.297,4358,up
g34070,224811_at,2.78,0.454,0.163,1.056,0.297,4358,up
g54649,AFFX-r2-Bs-dap-3_at,2.779,0.337,0.121,1.027,0.297,4358,up
g28975,219690_at,2.779,0.335,0.12,1.046,0.297,4358,up
g26603,217317_s_at,2.775,0.633,0.228,1.065,0.297,4358,up
g19496,210091_s_at,2.773,0.816,0.294,1.09,0.297,4358,up
g11299,201850_at,2.77,0.591,0.213,1.085,0.297,4358,up
g4080,1558164_s_at,2.77,0.225,0.081,1.039,0.297,4358,up
g4510,1558953_s_at,2.77,0.467,0.169,1.059,0.297,4358,up
g18036,208617_s_at,2.77,0.465,0.168,1.04,0.297,4358,up
g12857,203409_at,2.761,0.275,0.1,1.038,0.297,4358,up
g18710,209295_at,2.76,0.508,0.184,1.076,0.297,4358,up
g21836,212530_at,2.758,0.537,0.195,1.058,0.297,4358,up
g3105,1556595_at,2.757,0.523,0.19,1.091,0.297,4358,up
g2632,1555866_a_at,2.756,0.309,0.112,1.037,0.297,4358,up
g11211,201762_s_at,2.752,0.416,0.151,1.045,0.297,4358,up
g41083,231828_at,2.75,0.48,0.174,1.059,0.297,4358,up
g29515,220230_s_at,2.75,0.602,0.219,1.08,0.297,4358,up
g28526,219241_x_at,2.75,0.225,0.082,1.026,0.297,4358,up
g12197,202748_at,2.749,0.795,0.289,1.101,0.297,4358,up
g11708,202259_s_at,2.748,0.439,0.16,1.06,0.297,4358,up
g52881,243631_at,2.746,0.327,0.119,1.066,0.297,4358,up
g28656,219371_s_at,2.746,0.502,0.183,1.059,0.297,4358,up
g32779,223501_at,2.743,0.536,0.195,1.076,0.297,4358,up
g16989,207547_s_at,2.743,0.505,0.184,1.043,0.297,4358,up
g3609,1557383_a_at,2.742,0.292,0.106,1.065,0.297,4358,up
g4800,1559467_at,2.742,0.259,0.094,1.032,0.297,4358,up
g13330,203882_at,2.738,0.637,0.233,1.064,0.297,4358,up
g30371,221087_s_at,2.738,0.481,0.176,1.069,0.297,4358,up
g11105,201656_at,2.737,0.496,0.181,1.063,0.297,4358,up
g13041,203593_at,2.735,0.503,0.184,1.09,0.297,4358,up
g45712,236462_at,2.735,0.378,0.138,1.05,0.297,4358,up
g28106,218821_at,2.733,0.396,0.145,1.054,0.297,4358,up
g13531,204083_s_at,2.733,0.533,0.195,1.08,0.297,4358,up
g38375,229120_s_at,2.73,0.42,0.154,1.051,0.297,4358,up
g13930,204482_at,2.727,0.472,0.173,1.05,0.297,4358,up
g21288,211980_at,2.725,0.561,0.206,1.075,0.297,4358,up
g5288,1560318_at,2.72,0.277,0.102,1.057,0.297,4358,up
g34921,225663_at,2.72,0.322,0.118,1.032,0.297,4358,up
g20470,211105_s_at,2.72,0.306,0.112,1.041,0.297,4358,up
g48719,239469_at,2.719,0.308,0.113,1.047,0.297,4358,up
g10957,201508_at,2.718,0.559,0.206,1.075,0.297,4358,up
g36285,227029_at,2.718,0.543,0.2,1.065,0.297,4358,up
g25524,216231_s_at,2.716,0.898,0.33,1.078,0.297,4358,up
g18077,208659_at,2.716,0.502,0.185,1.057,0.297,4358,up
g31650,222370_x_at,2.715,0.355,0.131,1.051,0.297,4358,up
g28208,218923_at,2.714,0.439,0.162,1.063,0.297,4358,up
g51914,242664_at,2.712,0.319,0.118,1.069,0.297,4358,up
g54588,74694_s_at,2.712,0.511,0.188,1.086,0.297,4358,up
g34019,224760_at,2.712,0.275,0.102,1.033,0.297,4358,up
g21374,212067_s_at,2.711,0.578,0.213,1.071,0.297,4358,up
g35170,225912_at,2.709,0.562,0.207,1.072,0.297,4358,up
g18571,209156_s_at,2.706,0.45,0.166,1.07,0.297,4358,up
g51068,241818_at,2.705,0.356,0.132,1.045,0.297,4358,up
g8439,1566785_x_at,2.703,0.369,0.137,1.055,0.297,4358,up
g26705,217419_x_at,2.702,0.444,0.164,1.052,0.297,4358,up
g52233,242983_at,2.702,0.319,0.118,1.049,0.66,4358,up
g39579,230324_at,2.701,0.297,0.11,1.05,0.66,4358,up
g15302,205854_at,2.7,0.321,0.119,1.038,0.66,4358,up
g12220,202771_at,2.7,0.467,0.173,1.065,0.66,4358,up
g47823,238573_at,2.699,0.549,0.203,1.061,0.66,4358,up
g24496,215201_at,2.699,0.415,0.154,1.074,0.66,4358,up
g12313,202864_s_at,2.698,0.546,0.202,1.075,0.66,4358,up
g44239,234989_at,2.697,0.7,0.259,1.064,0.66,4358,up
g23235,213935_at,2.697,0.257,0.095,1.037,0.66,4358,up
g36756,227501_at,2.696,0.499,0.185,1.062,0.66,4358,up
g2522,1555724_s_at,2.694,0.338,0.126,1.037,0.66,4358,up
g21563,212256_at,2.694,0.391,0.145,1.049,0.66,4358,up
g32869,223592_s_at,2.694,0.623,0.231,1.091,0.66,4358,up
g21793,212487_at,2.694,0.279,0.104,1.03,0.66,4358,up
g34043,224784_at,2.691,0.343,0.128,1.035,0.66,4358,up
g11711,202262_x_at,2.69,0.419,0.156,1.05,0.66,4358,up
g667,1553186_x_at,2.69,0.57,0.212,1.054,0.66,4358,up
g42047,232793_at,2.69,0.345,0.128,1.04,0.66,4358,up
g31216,221935_s_at,2.689,0.485,0.18,1.098,0.66,4358,up
g10478,201029_s_at,2.689,0.644,0.24,1.061,0.66,4358,up
g18801,209387_s_at,2.688,0.617,0.229,1.099,0.66,4358,up
g10980,201531_at,2.688,0.467,0.174,1.049,0.66,4358,up
g22893,213592_at,2.687,0.712,0.265,1.078,0.66,4358,up
g21334,212027_at,2.685,0.56,0.209,1.065,0.66,4358,up
g53665,244414_at,2.683,0.524,0.195,1.074,0.66,4358,up
g37666,228411_at,2.683,0.344,0.128,1.048,0.66,4358,up
g31037,221756_at,2.682,0.28,0.105,1.028,0.66,4358,up
g39455,230200_at,2.68,0.41,0.153,1.05,0.66,4358,up
g39832,230577_at,2.68,0.68,0.254,1.063,0.66,4358,up
g13700,204252_at,2.68,0.355,0.133,1.053,0.66,4358,up
g4538,1559005_s_at,2.68,0.19,0.071,1.043,0.66,4358,up
g28209,218924_s_at,2.679,0.412,0.154,1.062,0.66,4358,up
g28087,218802_at,2.679,0.52,0.194,1.075,0.66,4358,up
g37786,228531_at,2.679,0.651,0.243,1.141,0.66,4358,up
g34161,224902_at,2.678,0.458,0.171,1.053,0.66,4358,up
g3528,1557252_at,2.678,0.259,0.097,1.046,0.66,4358,up
g14419,204971_at,2.675,0.494,0.185,1.084,0.66,4358,up
g37408,228153_at,2.674,0.498,0.186,1.068,0.66,4358,up
g52157,242907_at,2.674,1.051,0.393,1.181,0.66,4358,up
g22921,213620_s_at,2.674,0.665,0.249,1.082,0.66,4358,up
g37366,228111_s_at,2.671,0.371,0.139,1.056,0.66,4358,up
g32357,223077_at,2.671,0.438,0.164,1.064,0.66,4358,up
g29506,220221_at,2.67,0.377,0.141,1.058,0.66,4358,up
g15193,205745_x_at,2.67,0.335,0.126,1.043,0.66,4358,up
g48869,239619_at,2.668,0.363,0.136,1.06,0.66,4358,up
g13855,204407_at,2.668,0.417,0.156,1.085,0.66,4358,up
g36509,227253_at,2.668,0.773,0.29,1.093,0.66,4358,up
g10423,200974_at,2.666,0.402,0.151,1.046,0.66,4358,up
g21627,212321_at,2.665,0.311,0.117,1.04,0.66,4358,up
g37720,228465_at,2.665,0.409,0.153,1.061,0.66,4358,up
g28649,219364_at,2.665,0.385,0.144,1.054,0.66,4358,up
g18789,209375_at,2.665,0.303,0.114,1.033,0.66,4358,up
g38536,229281_at,2.664,0.426,0.16,1.051,0.66,4358,up
g1753,1554686_at,2.662,0.16,0.06,1.038,0.66,4358,up
g10590,201141_at,2.661,1.052,0.395,1.144,0.66,4358,up
g25122,215828_at,2.659,0.363,0.137,1.057,0.66,4358,up
g28441,219156_at,2.657,0.345,0.13,1.044,0.66,4358,up
g18213,208797_s_at,2.657,0.445,0.168,1.063,0.66,4358,up
g35705,226448_at,2.656,0.478,0.18,1.057,0.66,4358,up
g4559,1559037_a_at,2.655,0.298,0.112,1.061,0.66,4358,up
g16018,206571_s_at,2.655,0.649,0.245,1.069,0.66,4358,up
g32115,222835_at,2.654,0.368,0.139,1.046,0.66,4358,up
g21986,212680_x_at,2.654,0.398,0.15,1.053,0.66,4358,up
g10610,201161_s_at,2.653,0.585,0.22,1.075,0.66,4358,up
g37642,228387_at,2.653,0.252,0.095,1.033,0.66,4358,up
g17601,208174_x_at,2.652,0.262,0.099,1.029,0.66,4358,up
g46541,237291_at,2.652,0.171,0.064,1.034,0.66,4358,up
g46133,236883_at,2.652,0.28,0.106,1.036,0.66,4358,up
g53076,243826_at,2.652,0.408,0.154,1.061,0.66,4358,up
g21272,211964_at,2.652,0.549,0.207,1.07,0.66,4358,up
g36387,227131_at,2.651,0.406,0.153,1.057,0.66,4358,up
g2232,1555318_at,2.649,0.561,0.212,1.107,0.66,4358,up
g14966,205518_s_at,2.647,0.485,0.183,1.077,0.66,4358,up
g15189,205741_s_at,2.646,0.91,0.344,1.106,0.66,4358,up
g35297,226040_at,2.644,0.653,0.247,1.096,0.66,4358,up
g20398,211031_s_at,2.644,0.414,0.157,1.043,0.66,4358,up
g19809,210410_s_at,2.644,0.229,0.086,1.04,0.66,4358,up
g3886,1557780_at,2.642,0.311,0.118,1.052,0.66,4358,up
g13068,203620_s_at,2.639,0.391,0.148,1.045,0.66,4358,up
g49180,239930_at,2.639,0.385,0.146,1.062,0.66,4358,up
g29185,219900_s_at,2.638,0.172,0.065,1.021,0.66,4358,up
g21849,212543_at,2.638,0.373,0.141,1.06,0.66,4358,up
g30304,221019_s_at,2.637,0.499,0.189,1.068,0.66,4358,up
g38888,229633_at,2.637,0.449,0.17,1.062,0.66,4358,up
g28774,219489_s_at,2.635,0.37,0.141,1.044,0.66,4358,up
g18514,209099_x_at,2.634,0.47,0.178,1.059,0.66,4358,up
g52074,242824_at,2.632,0.328,0.124,1.045,0.66,4358,up
g31589,222309_at,2.631,0.422,0.16,1.087,0.66,4358,up
g27339,218053_at,2.628,0.404,0.154,1.041,0.66,4358,up
g24049,214752_x_at,2.626,0.369,0.141,1.044,0.66,4358,up
g13876,204428_s_at,2.625,0.334,0.127,1.05,0.66,4358,up
g18414,208999_at,2.625,0.371,0.141,1.041,0.66,4358,up
g50634,241384_x_at,2.622,0.256,0.098,1.058,0.66,4358,up
g47577,238327_at,2.622,0.456,0.174,1.072,0.66,4358,up
g16632,207186_s_at,2.621,0.432,0.165,1.043,0.66,4358,up
g19024,209613_s_at,2.62,0.25,0.095,1.056,0.66,4358,up
g21707,212401_s_at,2.619,0.271,0.104,1.032,0.66,4358,up
g48861,239611_at,2.617,0.401,0.153,1.052,0.66,4358,up
g36864,227609_at,2.617,0.403,0.154,1.049,0.66,4358,up
g36530,227274_at,2.616,0.369,0.141,1.041,0.66,4358,up
g35741,226484_at,2.616,0.43,0.164,1.046,0.66,4358,up
g27252,217966_s_at,2.616,0.424,0.162,1.066,0.66,4358,up
g51624,242374_at,2.616,0.359,0.137,1.062,0.66,4358,up
g50877,241627_x_at,2.616,0.331,0.126,1.044,0.66,4358,up
g28601,219316_s_at,2.616,0.227,0.087,1.042,0.66,4358,up
g27413,218127_at,2.614,0.316,0.121,1.034,0.66,4358,up
g37498,228243_at,2.612,0.366,0.14,1.054,0.66,4358,up
g3721,1557553_at,2.612,0.511,0.196,1.063,0.66,4358,up
g12001,202552_s_at,2.612,0.651,0.249,1.09,0.66,4358,up
g31075,221794_at,2.612,0.303,0.116,1.043,0.66,4358,up
g31355,222074_at,2.612,0.251,0.096,1.051,0.66,4358,up
g19997,210611_s_at,2.611,0.939,0.36,1.112,0.66,4358,up
g18198,208782_at,2.61,0.477,0.183,1.054,0.66,4358,up
g20623,211270_x_at,2.61,0.433,0.166,1.049,0.66,4358,up
g51511,242261_at,2.61,0.3,0.115,1.049,0.66,4358,up
g22279,212975_at,2.609,0.343,0.131,1.042,0.66,4358,up
g25557,216264_s_at,2.607,0.423,0.162,1.06,0.66,4358,up
g1069,1553719_s_at,2.606,0.266,0.102,1.045,0.66,4358,up
g37374,228119_at,2.604,0.294,0.113,1.035,0.66,4358,up
g48637,239387_at,2.602,0.307,0.118,1.057,0.66,4358,up
g27817,218531_at,2.602,0.421,0.162,1.052,0.66,4358,up
g54441,48531_at,2.602,0.431,0.166,1.055,0.66,4358,up
g41566,232311_at,2.601,0.54,0.208,1.085,0.66,4358,up
g34528,225270_at,2.599,0.504,0.194,1.054,0.66,4358,up
g54181,33304_at,2.598,0.419,0.161,1.058,0.66,4358,up
g31875,222595_s_at,2.595,0.249,0.096,1.038,0.66,4358,up
