"x"
"1","10114"
"2","34477"
"3","10000"
"4","19837"
"5","37293"
"6","34481"
"7","264"
"8","12945"
"9","10126"
"10","31845"
"11","42334"
"12","28850"
"13","27902"
"14","28006"
"15","37641"
"16","21280"
"17","22015"
"18","32691"
"19","21042"
"20","18279"
"21","18272"
"22","10482"
"23","10553"
"24","14639"
"25","27339"
"26","27522"
"27","36341"
"28","18523"
"29","28395"
"30","37497"
"31","9999"
"32","12953"
"33","13917"
"34","25230"
"35","10952"
"36","11448"
"37","23030"
"38","27118"
"39","22045"
"40","10100"
"41","45859"
"42","21249"
"43","16616"
"44","23467"
"45","33903"
"46","1"
"47","27867"
"48","34214"
"49","1363"
"50","15092"
"51","11047"
"52","27048"
"53","14831"
"54","34014"
"55","12952"
"56","23129"
"57","10162"
"58","47252"
"59","18195"
"60","25525"
"61","18171"
"62","45157"
"63","10230"
"64","2730"
"65","20424"
"66","18890"
"67","27669"
"68","13052"
"69","16436"
"70","44707"
"71","18524"
"72","37733"
"73","24729"
"74","34452"
"75","23651"
"76","22091"
"77","20131"
"78","10358"
"79","18484"
"80","21683"
"81","11387"
"82","10369"
"83","44963"
"84","10438"
"85","15439"
"86","34498"
"87","30936"
"88","49760"
"89","24102"
"90","10122"
"91","15193"
"92","18293"
"93","27050"
"94","22355"
"95","17415"
"96","21739"
"97","32703"
"98","10370"
"99","21045"
"100","54527"
"101","33954"
"102","33080"
"103","23413"
"104","24097"
"105","29611"
"106","34883"
"107","50984"
"108","44558"
"109","18046"
"110","37350"
"111","44356"
"112","54226"
"113","12244"
"114","17099"
"115","34511"
"116","22471"
"117","10138"
"118","20683"
"119","32656"
"120","16273"
"121","21890"
"122","35951"
"123","10629"
"124","18882"
"125","28315"
"126","4358"
"127","20623"
"128","23990"
"129","19530"
"130","22462"
"131","34598"
"132","18337"
"133","32452"
"134","6562"
"135","18528"
"136","33736"
"137","11232"
"138","10128"
"139","24175"
"140","11892"
"141","12164"
"142","15946"
"143","12210"
"144","35330"
"145","18045"
"146","34020"
"147","12557"
"148","27908"
"149","11731"
"150","18132"
"151","18047"
"152","13625"
"153","15076"
"154","47912"
"155","21684"
"156","34965"
"157","1247"
"158","15299"
"159","27049"
"160","35798"
"161","51048"
"162","35603"
"163","43895"
"164","10453"
"165","10285"
"166","10880"
"167","12307"
"168","13992"
"169","24706"
"170","35391"
"171","34048"
"172","48062"
"173","38330"
"174","30234"
"175","10101"
"176","45267"
"177","40147"
"178","11567"
"179","10739"
"180","27751"
"181","11742"
"182","22100"
"183","28024"
"184","14744"
"185","28282"
"186","35023"
"187","41593"
"188","21305"
"189","35800"
"190","34728"
"191","10212"
"192","34011"
"193","19238"
"194","21236"
"195","23472"
"196","34496"
"197","36937"
"198","25599"
"199","44679"
"200","19677"
"201","22158"
"202","32681"
"203","44865"
"204","10337"
"205","18317"
"206","27418"
"207","22088"
"208","17058"
"209","11638"
"210","31385"
